Unnamed: 0,Производитель,Модель,Размер колес,Подвеска,Рама,Вилка,Трансмиссия,Тормозная система,Шатуны,Цена,Плюсы,Минусы,Порекомендуете ли вы данный продукт?,Ссылка на фото
20,Specialized,Rockhopper Comp,29,Хард тейл,6061 Aluminium,"Rockshox XC 28 (80mm small, 100mm other sizes)","Acera, Deore, Alivio (3x9)","Tektro Drako 2 (180, 160)",Sram X7,99000,"Прочная рама, хорошая управляемость. Отличные шины. Хорошо поднимается в гору. Также неплохо ведет себя на спусках",Немного тяжелый — чуть больше 30 фунтов. Вилка не очень хорошая и могла бы иметь более толстые стойки. У меня были смешанные впечатления от тормозов,"Если вы можете получить его по хорошей цене, то да. В противном случае, я думаю, вы можете найти лучший велосипед за свои деньги",20_Specialized_Rockhopper_Comp.jpg
21,Airborne,Goblin,29,Хард тейл,6061 Aluminum Hardtail,Rockshox Reba,SRAM x7,"Avid elixir 7 hydraulic (180, 160)",Sram X7,108000,"Отличные производительные детали и вес за потраченные деньги. Единственный другой бренд, предлагающий такой уровень деталей в этой ценовой категории, — Motobecane","Доступен только для онлайн-покупки, маленький бренд, убедитесь, что вы покупаете правильный размер рамы",Хороший XC велосипед с надежными компонентами. Все детали находятся на более высоком уровне по сравнению с аналогичными и более дорогими велосипедами,21_Airborne_Goblin.jpg
22,Kona,Kahuna,29,Хард тейл,7005 Aluminum,Rockshox XC 32 (100mm),"SRAM x5, 10 Speed","Avid elixir 1 hydraulic (180, 160)","FSA Gamma Drive
",108000,"Отличный велосипед для высоких райдеров, нормальный вес",Отличный велосипед для доработки. Рама — это главное достоинство этого велосипеда наряду с штатными шинами,"Поскольку я ростом 6'2"", с более длинной геометрией верхней трубы он кажется более естественным",22_Kona_Kahuna.jpg
23,Kona,Kahuna,29,Хард тейл,Aluminum,RockShox XC 32 TK 100mm Tapered,Shimano Deore,Shimano Deore (180/160),"FSA Gamma Drive
",116910,"Эффективные тормоза Shimano Deore: Система тормозов с дисками (180/160 мм) обеспечивает надежную тормозную мощность и контроль, что особенно важно на спусках","Хотя алюминиевая рама легкая, Kona Kahuna может быть несколько тяжелее, чем некоторые модели с углеродными рамами, что может повлиять на маневренность","Kona Kahuna — это превосходный хардтейл для тех, кто хочет наслаждаться катанием по трейлам и испытывать новые приключения. Он предлагает хорошее соотношение цена/качество и надежные характеристики, что делает его отличным вариантом для начинающих и опытных велосипедистов",23_Kona_Kahuna.jpg
24,Kona,Taro,29,Хард тейл,6061 Aluminium,Rockshox Sektor TK,"Deore 1x9, alivio shifters","Avid elixir 1 hydraulic (180, 160)","FSA Step-Up, with chainguide",126000,"Короткие перья, расслабленный угол рулевой колонки, хороший выбор, если вы хотите попробовать более сложные трассы","Вилка Rockshox Sektor TK может не иметь столь обширных возможностей настройки, как более дорогие модели, что может ограничить опыт более продвинутых велосипедистов","Kona Taro предлагает хорошее соотношение цена/качество и подходит для тех, кто хочет кататься по легким и средним трассам, а также для тех, кто только начинает свое путешествие в мир горных велосипедов",24_Kona_Taro.jpg
25,Specialized,Carve Comp 29,29,Хард тейл,M4SL Aluminum Hardtail,RockShox Recon Gold,"x5, x7, x5",Avid Elixir 1,Custom SRAM,144000,"Хороший вес, прочная рама","Педали/грипсы и т.д. требуют модернизации, детали не такого высокого качества, как у некоторых велосипедов в аналогичной ценовой категории","Если это в вашем ценовом диапазоне и вы не против модернизировать свой велосипед по мере катания, это хороший долгосрочный велосипед",25_Specialized_Crave_Comp.jpg
26,Trek,X-Caliber,29,Хард тейл,Alpha Gold Aluminum,RockShox Reba RL,"Deore, X7",Avid Elixir 1,SRAM S1000,153000,"Быстро катится, отлично поднимается, отличное соотношение цена/качество","Грипсы, шины","Если вы ищете довольно хороший хардтейл для XC, обратите внимание на X-Cal. Действительно отличный велосипед за свои деньги",26_Trek_X-Caliber.png
27,Kona,Tanuki,26,Полная подвеска,6069 Alum,RockShox Sektor R Coil 130,Deore/Acera,Elixir 1 180/160,Shimano Acera,153000,"Прочный каркас, интересный в управлении трейловый велосипед",Компоненты низкого качества,"Хороший начальный уровень с полной подвеской. Катайтесь на нем до тех пор, пока что-то не сломается, затем обновите",27_Kona_Tanuki.png
28,Specialized,Stumpjumper Comp,29,Хард тейл,M5 Alloy,90mm Rockshox Reba RL,"X7,X9 type II, X7, 2x10",Magura MTS 180/160,Custom SRAM 38/24,180000,"Легкий, ободья готовы к безвоздушным шинам, отличная работа трансмиссии и тормозов","Педали пластиковые, из-за коротких перьев большая звезда не работает хорошо с большими передачами на кассете, что приводит к большему количеству переключений","Если вы ищете агрессивный XC хардтейл, Stumpjumper отлично поднимается и спускается по трассам",28_Specialized_Stumpjumper_Comp.png
29,Giant,Trance 27.5 3,28,Полная подвеска,ALUXX-Grade Aluminum,"SR Suntour XCM V3 w/ Lockout, 100mm Travel, Giant aAir rear shock","SRAM X4, 3x8 Speed,","Tektro Novela, 160mm",SR Suntour XCT-V2,191250,"Легкая рама ALUXX-Grade Aluminum: Рама изготовлена из высококачественного алюминия, что обеспечивает прочность и легкость, делая велосипед удобным для длительных поездок","Несмотря на хорошее качество, механические тормоза и трансмиссия могут быть менее эффективными по сравнению с гидравлическими системами, что может повлиять на общую производительность","Giant Trance 27.5 3 — это мощный велосипед с полной подвеской, созданный для тех, кто ищет комфорт и производительность на разнообразных трассах. С легкой рамой из алюминия и современными компонентами, этот велосипед отлично справляется с неровностями и обеспечивает отличную управляемость на сложных маршрутах",29_Giant_Trance.jpg
30,Giant,XTC Composite 29er 1,29,Полная подвеска,Giant Composite,Fox Float F29,Shimano SLX/XT,Shimano SLX,Shimano Acera,252000,Отличная цена за характеристики,"Композит Giant действительно не такого же качества (или веса), как у некоторых брендов","Если вы хотите хардтейл 29er с фантастическими компонентами за свою цену, и он очень способен, то вы не ошибетесь с этим велосипедом",30_Giant_XTC_Composite.png
31,Yeti,SB-66c,26,Полная подвеска,SB066c Large,Fox Float 150,Shimano XT,Shimano XT m785 (180/160),Shimano XT,504000,"Отличный велосипед, супер легкий, супер прочный зад. Чувствуется в велосипеде, а не на велосипеде. Оснащен прочными колесами, прочными осями, карбоновыми рулем и подседельным штырем. Рама имеет встроенные защитные элементы для задних перьев и нижней трубы","Довольно дорого. Задний амортизатор Fox RP23 иногда может быть недостаточным для того типа катания, для которого предназначен этот велосипед","Я бы очень рекомендовал его, если у вас есть деньги. Если вы не можете позволить себе углеводородную версию, обязательно попробуйте взять алюминиевую. Подвеска кажется бездонной, и практически нет раскачки при педалировании. Стоит каждой копейки",31_Yeti_SB66c.png
32,Specialized,Demo 8 Carbon 1 (2013),26,Полная подвеска,Fact 10 Carbon Fiber,Boxxer RC 203 mm,Sram x9,Avid Elixer 5 (200/180),Truvativ,594000,"Легкий, жесткий, низкий центр тяжести, короткие перья, очень маневренный на высоких скоростях",Вилка/колеса/тормоза все ниже среднего для этой цены,Да,32_Specialized_Demo_8.jpg
33,Giant,Anthem 27.5 3,28,Полная подвеска,ALUXX SL-grade Aluminum,"Rockshox Recon Gold RL 100mm, 15mm TA
Rockshox Monarch R (100mm rear travel)","Web specs list says full Shimano Deore, bikes are actually coming with SLX shifters and FD, Deore Shadow+ clutch RD, 11-36 Deore cassette","Shimano M395, 160/160",SRAM S-series 38/26,195750,Маневренное управление и очень быстрое ускорение. Подвеска Maestro отличная и не требует платформенного амортизатора для подъема. Низкий центр тяжести позволяет велосипеды чувствовать себя очень стабильными в поворотах. Короткие перья позволяют легко поднимать переднюю часть и поворачивать велосипед. Получить зажимной переключатель на этой ценовой категории — это приятно,"Так себе спецификации за деньги. Штатные колеса Giant невероятно тяжелые и не очень жесткие. Начальная спецификация означает, что вы получаете велосипед, который очень тяжелый для того, который продается как XC-гонщик. Очень низкая высота центра тяжести, которая полезна в поворотах, может быть неудобной на технических подъемах или каменистых участках, требующих педалирования. Большинство из этого можно избежать, изменив технику педалирования, но дополнительные удары по педалям/кривошипам избежать нельзя","Да. Этот велосипед — надежная покупка для кого-то, кто ищет удобный, но игривый XC велосипед для общего катания по тропам и/или гонок и не ищет 29er по каким-либо причинам. Спецификации частей прослужат вам несколько сезонов, пока вы не будете готовы модернизировать некоторые из них, чтобы облегчить вес и действительно превратить его в ракету. Если возможно, выделите бюджет на безвоздушный комплект колес (и шины/комплект для безвоздушных шин), и велосипед действительно станет ракетой",33_Giant_Anthem.jpg
34,Giant,Revel 1,26,Хард тейл,ALUXX Butted Aluminum,"SR SunTour XCM V3 w/preload adjust, 100mm-travel","X4 rear derailleur, x3 shifters, Shimano altus front derailleur","Tektro Novella (160,160)",suntour,241200,"Лучше спецификации/цена, чем у Trek или Specialized в той же ценовой категории",Вилка = пого-стик,"Я не разочаровался. Я не смог найти доступный на местном рынке начальный велосипед с лучшими характеристиками за такую цену. Это был мой первый велосипед, и он прослужил мне 3 года, безусловно, лучший велосипед в своей ценовой категории",34_Giant_Revel_1.jpg
35,Northrock,xc6,26,Хард тейл,6061 Aluminum,SR Suntour XCT 80mm,"Acera, Acera, Altus",Tektro Novela mechanical disc (160),Shimano,136800,"арантия от Costco, хорошие компоненты/цена",Нужно собирать самостоятельно. Это займет время на YouTube,"Northrock XC6 — это надежный хардтейл, который идеально подходит для начинающих и любителей, стремящихся исследовать новые маршруты и наслаждаться катанием по пересеченной местности. С легкой рамой из алюминия и проверенными компонентами, этот велосипед предлагает отличное соотношение цена/качество",35_Northrock_XC6.jpg
36,Specialized,Demo,26,Полная подвеска,Aluminum,Boxxer RC 203 mm,"Acera, Deore, Alivio (3x9)",Shimano,Shimano,177300,"Удивительная геометрия, супер быстрая, хорошие компоненты за свою цену",Вилка с пружиной,"Specialized Demo создан для экстремального катания, что делает его отличным выбором для тех, кто хочет покорять крутые спуски и технические участки. Если вы являетесь опытным велосипедистом, который ищет надежное средство для даунхилла, Specialized Demo станет отличным выбором.",36_Specialized_Demo.png
